id,disease_category,condition,symptom_keywords,recommended_medicine,dosage,duration,precautions,notes
422,Infection,Ear Infection,"ear pain, discharge",Ciprofloxacin Ear Drops,1 tablet after meal,7 days,Consult doctor if symptoms persist,Monitor blood sugar levels
423,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 tablet every 8 hours,10 days,Do not exceed recommended dose,Avoid spicy and oily food
424,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 capsule daily,Continuous,Store in cool dry place,Monitor blood sugar levels
425,Neurological,Anxiety,"restlessness, tension",Diazepam,1 tablet every 8 hours,5 days,Avoid driving after taking medicine,Monitor blood sugar levels
426,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet after meal,Continuous,Take with water,Monitor symptoms regularly
427,Musculoskeletal,Arthritis,"joint pain, swelling",Diclofenac,1 tablet every 8 hours,Continuous,Store in cool dry place,Consult doctor if no improvement in 3 days
428,Endocrine,Thyroid Disorder,"fatigue, weight change",Levothyroxine,5 ml syrup twice daily,5 days,Stay hydrated,Consult doctor if no improvement in 3 days
429,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,1 tablet twice daily,10 days,Take with water,Take full course even if you feel better
430,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet twice daily,10 days,Avoid alcohol,Take full course even if you feel better
431,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,10 days,Store in cool dry place,Consult doctor if no improvement in 3 days
432,Digestive,Constipation,"hard stool, bloating",Bisacodyl,1 tablet every 8 hours,10 days,Avoid driving after taking medicine,Check blood pressure regularly
433,Endocrine,Obesity,"overweight, high BMI",Phentermine,1 tablet twice daily,7 days,Avoid alcohol,Check blood pressure regularly
434,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,1 tablet after meal,Continuous,Store in cool dry place,Get adequate rest
435,Infection,Bacterial Infection,"fever, pain",Amoxicillin,5 ml syrup twice daily,As prescribed,Take after food,Monitor blood sugar levels
436,Endocrine,Diabetes,high blood sugar,Metformin,5 ml syrup twice daily,Continuous,Take after food,Monitor blood sugar levels
437,Cardiac,Heart Failure,"fatigue, swelling",Furosemide,5 ml syrup twice daily,5 days,Avoid alcohol,Monitor symptoms regularly
438,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet twice daily,7 days,Consult doctor if symptoms persist,Monitor symptoms regularly
439,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 tablet twice daily,As prescribed,Avoid alcohol,Can be taken with meals
440,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 tablet after meal,10 days,Stay hydrated,Take full course even if you feel better
441,Respiratory,Bronchitis,"cough, chest congestion",Azithromycin,1 tablet twice daily,7 days,Stay hydrated,Monitor blood sugar levels
442,Neurological,Migraine,"headache, nausea",Ibuprofen,1 tablet every 8 hours,As prescribed,Stay hydrated,Get adequate rest
443,Neurological,Migraine,"headache, nausea",Sumatriptan,1 tablet twice daily,7 days,Take with water,Can be taken with meals
444,Skin,Eczema,"dry skin, itching",Hydrocortisone,5 ml syrup twice daily,10 days,Do not exceed recommended dose,Monitor symptoms regularly
445,Infection,Ear Infection,"ear pain, discharge",Amoxicillin,1 tablet every 8 hours,10 days,Take with water,Consult doctor if no improvement in 3 days
446,Cardiac,Arrhythmia,irregular heartbeat,Amiodarone,1 tablet after meal,10 days,Consult doctor if symptoms persist,Get adequate rest
447,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet twice daily,7 days,Avoid alcohol,Avoid spicy and oily food
448,Infection,Urinary Tract Infection,burning urination,Nitrofurantoin,5 ml syrup twice daily,As prescribed,Take with water,Check blood pressure regularly
449,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet after meal,5 days,Stay hydrated,Can be taken with meals
450,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet twice daily,As prescribed,Avoid driving after taking medicine,Can be taken with meals
451,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet after meal,Continuous,Take after food,Take full course even if you feel better
452,Infection,Ear Infection,"ear pain, discharge",Amoxicillin,5 ml syrup twice daily,5 days,Take after food,Monitor symptoms regularly
453,Digestive,Constipation,"hard stool, bloating",Lactulose,5 ml syrup twice daily,10 days,Stay hydrated,Can be taken with meals
454,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 tablet twice daily,10 days,Consult doctor if symptoms persist,Take full course even if you feel better
455,Musculoskeletal,Back Pain,lower back pain,Ibuprofen,5 ml syrup twice daily,10 days,Store in cool dry place,Take full course even if you feel better
456,Endocrine,PCOS,"irregular periods, acne",Clomiphene,5 ml syrup twice daily,7 days,Do not exceed recommended dose,Monitor blood sugar levels
457,Endocrine,PCOS,"irregular periods, acne",Clomiphene,1 tablet after meal,7 days,Do not exceed recommended dose,Take full course even if you feel better
458,Digestive,Constipation,"hard stool, bloating",Bisacodyl,5 ml syrup twice daily,10 days,Avoid alcohol,Avoid spicy and oily food
459,Endocrine,Diabetes,high blood sugar,Metformin,1 tablet every 8 hours,5 days,Avoid driving after taking medicine,Can be taken with meals
460,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,1 tablet twice daily,Continuous,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
461,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 capsule daily,7 days,Consult doctor if symptoms persist,Monitor symptoms regularly
462,Skin,Fungal Infection,"itching, rashes",Fluconazole,1 capsule daily,As prescribed,Do not exceed recommended dose,Check blood pressure regularly
463,Musculoskeletal,Arthritis,"joint pain, swelling",Diclofenac,1 tablet twice daily,5 days,Avoid alcohol,Take full course even if you feel better
464,Cardiac,Heart Failure,"fatigue, swelling",Digoxin,1 tablet after meal,5 days,Store in cool dry place,Monitor blood sugar levels
465,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 capsule daily,As prescribed,Take after food,Get adequate rest
466,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,1 capsule daily,Continuous,Consult doctor if symptoms persist,Get adequate rest
467,General,Pain,"body pain, headache",Diclofenac,1 tablet every 8 hours,As prescribed,Stay hydrated,Take full course even if you feel better
468,Digestive,Diarrhea,"loose motion, dehydration",ORS,1 tablet after meal,Continuous,Take with water,Can be taken with meals
469,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 tablet every 8 hours,Continuous,Avoid alcohol,Take full course even if you feel better
470,Infection,Viral Infection,"fever, sore throat",Paracetamol,5 ml syrup twice daily,Continuous,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
471,Musculoskeletal,Gout,"joint pain, uric acid",Colchicine,1 tablet twice daily,7 days,Store in cool dry place,Monitor symptoms regularly
472,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,1 tablet after meal,As prescribed,Consult doctor if symptoms persist,Take full course even if you feel better
473,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,1 tablet after meal,Continuous,Do not exceed recommended dose,Get adequate rest
474,Skin,Eczema,"dry skin, itching",Cetirizine,1 tablet twice daily,Continuous,Avoid driving after taking medicine,Check blood pressure regularly
475,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 capsule daily,Continuous,Take with water,Can be taken with meals
476,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 capsule daily,7 days,Consult doctor if symptoms persist,Avoid spicy and oily food
477,Respiratory,Cold,"runny nose, sore throat",Cetirizine,1 capsule daily,7 days,Consult doctor if symptoms persist,Monitor symptoms regularly
478,Endocrine,Thyroid Disorder,"fatigue, weight change",Carbimazole,5 ml syrup twice daily,Continuous,Avoid alcohol,Monitor symptoms regularly
479,Neurological,Epilepsy,"seizure, convulsion",Valproate,1 tablet every 8 hours,7 days,Take after food,Avoid spicy and oily food
480,Endocrine,Obesity,"overweight, high BMI",Orlistat,5 ml syrup twice daily,Continuous,Do not exceed recommended dose,Can be taken with meals
481,General,Weakness,"tiredness, fatigue",Vitamin B Complex,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Check blood pressure regularly
482,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,5 ml syrup twice daily,Continuous,Stay hydrated,Avoid spicy and oily food
483,Digestive,Constipation,"hard stool, bloating",Lactulose,1 tablet twice daily,7 days,Do not exceed recommended dose,Monitor blood sugar levels
484,Cardiac,Angina,"chest pain, short breath",Aspirin,1 tablet every 8 hours,7 days,Avoid driving after taking medicine,Monitor symptoms regularly
485,Endocrine,PCOS,"irregular periods, acne",Metformin,1 capsule daily,7 days,Avoid driving after taking medicine,Monitor blood sugar levels
486,Digestive,Diarrhea,"loose motion, dehydration",Loperamide,1 tablet every 8 hours,10 days,Take after food,Monitor blood sugar levels
487,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 tablet every 8 hours,Continuous,Do not exceed recommended dose,Avoid spicy and oily food
488,Cardiac,Hypertension,high blood pressure,Losartan,5 ml syrup twice daily,5 days,Take after food,Monitor symptoms regularly
489,Respiratory,Asthma,"wheezing, shortness of breath",Montelukast,1 tablet twice daily,5 days,Store in cool dry place,Take full course even if you feel better
490,Skin,Fungal Infection,"itching, rashes",Clotrimazole,1 tablet after meal,7 days,Stay hydrated,Can be taken with meals
491,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,5 ml syrup twice daily,Continuous,Store in cool dry place,Get adequate rest
492,Musculoskeletal,Arthritis,"joint pain, swelling",Diclofenac,5 ml syrup twice daily,Continuous,Store in cool dry place,Can be taken with meals
493,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 tablet twice daily,10 days,Take with water,Monitor symptoms regularly
494,Cardiac,Angina,"chest pain, short breath",Aspirin,5 ml syrup twice daily,10 days,Take after food,Can be taken with meals
495,Skin,Fungal Infection,"itching, rashes",Fluconazole,1 tablet twice daily,5 days,Take with water,Consult doctor if no improvement in 3 days
496,Musculoskeletal,Back Pain,lower back pain,Paracetamol,1 tablet after meal,7 days,Avoid alcohol,Take full course even if you feel better
497,Musculoskeletal,Back Pain,lower back pain,Paracetamol,1 tablet after meal,As prescribed,Store in cool dry place,Can be taken with meals
498,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 capsule daily,10 days,Stay hydrated,Check blood pressure regularly
499,General,Pain,"body pain, headache",Diclofenac,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Check blood pressure regularly
500,Cardiac,Angina,"chest pain, short breath",Aspirin,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Monitor symptoms regularly
